No. of straight lines,Median height,Median width,Median radius,Median rectangularity ratio,Median circularity ratio,Median rectangular area,Median circular area
4943,67.5,58.0,46.0,0.48131963311640447,0.4812925170068027,3915.0,6647.610054996002

16472,47.0,41.0,33.0,0.44607843137254904,0.4459342560553633,1927.0,3421.194399759285

5396,61.0,55.0,43.0,0.44866871479774706,0.44841269841269843,3355.0,5808.804816487527

5241,70.0,61.0,48.0,0.45123152709359604,0.4510942324463195,4270.0,7238.229473870883

3619,74.0,65.0,50.0,0.4422936038320654,0.4420825861127383,4810.0,7853.981633974483

2929,73.0,62.5,53.0,0.4198835095216674,0.41962813015444594,4562.5,8824.73376393373

4842,94.0,84.0,65.0,0.40334632878492527,0.40320027489349214,7896.0,13273.228961416875

2082,81.0,94.0,62.0,0.29172623910675377,0.29151348039215685,7614.0,12076.282160399165

2667,90.0,103.0,70.0,0.2956735496558505,0.29535929735044775,9270.0,15393.804002589986

2567,85.0,97.0,65.0,0.285867742965526,0.28551307013546545,8245.0,13273.228961416875

3184,80.0,92.0,62.0,0.30385310416096,0.3036409657320872,7360.0,12076.282160399165

2524,76.5,86.5,62.5,0.30286650997707537,0.3025293586269196,6617.25,12271.846303085129

2272,79.5,95.0,63.0,0.29351495059522525,0.2929611650485437,7552.5,12468.981242097889

2286,81.0,93.0,62.0,0.2950358680057389,0.294839362574298,7533.0,12076.282160399165

4205,78.0,96.0,62.0,0.2908673894912427,0.29035303972912374,7488.0,12076.282160399165

3801,75.0,93.0,62.0,0.2951426507764536,0.29513390773341786,6975.0,12076.282160399165

3291,78.0,86.0,61.0,0.29313485030955455,0.293039603338982,6708.0,11689.86626400762

3539,72.0,88.5,61.5,0.3075565847875831,0.3068535825545171,6372.0,11882.288814039995

2935,80.0,97.0,65.0,0.3023475445223961,0.30079498438241015,7760.0,13273.228961416875

3009,82.0,98.5,68.0,0.2895675084520135,0.2895373596593109,8077.0,14526.724430199205

2487,83.5,90.5,65.0,0.28737018518141644,0.28599422442244227,7556.75,13273.228961416875

4719,77.0,98.0,63.0,0.3329497766346284,0.3324056242480501,7546.0,12468.981242097889

4452,76.0,95.0,62.0,0.33175465838509316,0.3316709799861974,7220.0,12076.282160399165

4361,76.0,93.0,62.0,0.34277291406110416,0.3422892167285474,7068.0,12076.282160399165

4665,73.0,79.0,59.0,0.3556291665769002,0.3555747291726584,5767.0,10935.88402714607

4403,72.0,80.0,58.0,0.3584478954941539,0.358277027027027,5760.0,10568.317686676064

3213,72.0,89.0,60.0,0.33899843864668844,0.3366848205557883,6408.0,11309.733552923255

3547,71.0,85.0,61.0,0.35244062814264715,0.35166366049070896,6035.0,11689.86626400762

4916,70.0,83.0,59.0,0.3481011168287105,0.3479938271604938,5810.0,10935.88402714607

4405,69.0,79.0,57.0,0.33862217598097505,0.33940956934181465,5451.0,10207.034531513238

5049,68.0,77.0,59.0,0.3741187384044527,0.37409353069290957,5236.0,10935.88402714607

5306,67.0,76.0,60.5,0.3759722434039957,0.37522185108889006,5092.0,11499.01451030204

4025,66.0,82.0,59.0,0.3620770676691729,0.3618314251537936,5412.0,10935.88402714607

4367,65.0,83.0,59.0,0.37151960784313726,0.3709101798614183,5395.0,10935.88402714607

2994,76.0,102.0,67.5,0.32278831642627137,0.326653883029722,7752.0,14313.881527918495

3262,60.5,60.0,45.5,0.44333091355336046,0.4385012919896641,3630.0,6503.882191094269

3015,62.0,63.0,55.0,0.4089068825910931,0.40872173397847333,3906.0,9503.317777109125

3302,62.0,57.0,55.0,0.43478260869565216,0.43389071402905394,3534.0,9503.317777109125

3021,56.0,53.0,38.0,0.43626233794362446,0.43609022556390975,2968.0,4536.459791783661

2733,58.0,58.0,48.5,0.43007518796992483,0.4297598162071846,3364.0,7389.811319406591

1980,56.0,51.0,41.0,0.4427083333333333,0.4408796009098428,2856.0,5281.017250684442

1634,56.0,56.0,45.0,0.41914103923647933,0.41904290890200124,3136.0,6361.725123519332

3077,60.0,57.0,55.0,0.4397849462365591,0.4397053982883476,3420.0,9503.317777109125

2748,56.5,52.5,41.0,0.4595095586687432,0.4576587184770876,2966.25,5281.017250684442

2967,56.5,55.5,40.0,0.4358909214092141,0.43567073170731707,3135.75,5026.548245743669

3610,56.0,50.0,38.0,0.46150463378027484,0.46116863905325445,2800.0,4536.459791783661

2442,56.0,51.0,37.0,0.47371031746031744,0.47339362026862025,2856.0,4300.840342764427

2510,57.0,52.0,43.0,0.4804890738813736,0.48044061537205934,2964.0,5808.804816487527

1832,63.0,72.0,60.5,0.4389516635279347,0.4386199759081115,4536.0,11499.01451030204

4751,52.0,55.0,39.0,0.4821109123434705,0.4780415549590763,2860.0,4778.362426110075

5169,56.5,57.5,37.0,0.47640807549970615,0.47627852740296517,3248.75,4300.840342764427

5127,62.5,60.0,40.0,0.481674203448397,0.48133848133848134,3750.0,5026.548245743669

6719,58.0,56.0,36.0,0.530718336483932,0.5300747767075744,3248.0,4071.5040790523717

5951,58.0,56.0,37.0,0.5096153846153846,0.509193657219973,3248.0,4300.840342764427

